zip,Under 5 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female,Male,Total
07002,2109.0,1591.0,706.0,329.0,474.0,1211.0,2525.0,2385.0,2534.0,2761.0,2604.0,1928.0,2147.0,1949.0,1108.0,1239.0,568.0,784.0,951.0,624.0,533.0,393.0,33303.0,32075.0,65378.0,2244.0
07008,970.0,577.0,293.0,209.0,329.0,414.0,1138.0,845.0,904.0,772.0,1049.0,637.0,952.0,703.0,357.0,283.0,192.0,348.0,253.0,186.0,125.0,157.0,12364.0,11601.0,23965.0,734.0
07020,128.0,71.0,0.0,16.0,20.0,105.0,486.0,755.0,794.0,418.0,265.0,373.0,351.0,267.0,50.0,80.0,132.0,118.0,249.0,43.0,51.0,142.0,6365.0,5570.0,11935.0,416.0
07024,634.0,472.0,155.0,230.0,72.0,354.0,921.0,1220.0,1466.0,1533.0,1336.0,788.0,1126.0,1082.0,767.0,599.0,582.0,663.0,1178.0,590.0,488.0,482.0,19646.0,16701.0,36347.0,827.0
07036,1068.0,860.0,571.0,339.0,232.0,858.0,1393.0,1428.0,1375.0,1553.0,1462.0,1107.0,1595.0,1493.0,567.0,793.0,436.0,694.0,655.0,292.0,259.0,244.0,22123.0,20771.0,42894.0,1227.0
07064,78.0,101.0,10.0,7.0,11.0,19.0,51.0,113.0,103.0,117.0,218.0,102.0,99.0,102.0,75.0,38.0,23.0,24.0,59.0,25.0,43.0,32.0,1867.0,1767.0,3634.0,152.0
07077,67.0,43.0,0.0,35.0,0.0,58.0,101.0,156.0,70.0,121.0,98.0,41.0,72.0,91.0,75.0,45.0,20.0,24.0,50.0,20.0,26.0,4.0,1248.0,1282.0,2530.0,0.0
07202,1633.0,665.0,430.0,200.0,455.0,835.0,1758.0,1683.0,1457.0,1893.0,1563.0,1652.0,1411.0,1320.0,418.0,271.0,283.0,407.0,529.0,311.0,239.0,224.0,20522.0,20507.0,41029.0,1395.0
07206,1189.0,673.0,373.0,154.0,290.0,685.0,1178.0,976.0,1396.0,875.0,836.0,1375.0,793.0,507.0,170.0,125.0,125.0,189.0,196.0,114.0,126.0,168.0,14441.0,13807.0,28248.0,1763.0
07305,2226.0,980.0,794.0,658.0,452.0,1563.0,2491.0,2181.0,2383.0,2661.0,2102.0,2351.0,1760.0,1617.0,672.0,810.0,501.0,914.0,1257.0,540.0,318.0,243.0,34371.0,29069.0,63440.0,2483.0
07620,49.0,30.0,15.0,13.0,13.0,45.0,34.0,31.0,16.0,35.0,64.0,32.0,32.0,106.0,34.0,43.0,33.0,54.0,67.0,62.0,16.0,23.0,778.0,781.0,1559.0,18.0
07632,170.0,161.0,10.0,8.0,0.0,86.0,168.0,82.0,197.0,169.0,235.0,172.0,162.0,307.0,43.0,77.0,99.0,90.0,173.0,152.0,74.0,62.0,2871.0,2571.0,5442.0,246.0
07670,798.0,517.0,143.0,95.0,62.0,71.0,71.0,168.0,428.0,588.0,659.0,693.0,708.0,485.0,340.0,145.0,160.0,147.0,240.0,170.0,193.0,66.0,7830.0,6958.0,14788.0,414.0
08861,2010.0,1214.0,620.0,406.0,427.0,1309.0,2184.0,2254.0,1995.0,1860.0,1981.0,1916.0,1844.0,1305.0,444.0,603.0,381.0,460.0,810.0,358.0,203.0,266.0,27486.0,27060.0,54546.0,2045.0
10001,235.0,48.0,560.0,197.0,109.0,768.0,1303.0,1330.0,1011.0,1122.0,577.0,364.0,913.0,904.0,270.0,320.0,190.0,495.0,317.0,265.0,210.0,103.0,11710.0,11827.0,23537.0,381.0
10002,1384.0,1048.0,780.0,375.0,461.0,1838.0,4080.0,3406.0,2987.0,2691.0,3273.0,1223.0,2653.0,2402.0,1148.0,1203.0,817.0,1056.0,2238.0,1130.0,1283.0,854.0,41922.0,38814.0,80736.0,1496.0
10003,386.0,163.0,4254.0,1014.0,311.0,1314.0,4725.0,3264.0,1701.0,1973.0,1418.0,363.0,1206.0,1710.0,444.0,902.0,463.0,616.0,687.0,509.0,189.0,400.0,29925.0,27187.0,57112.0,756.0
10004,27.0,156.0,0.0,16.0,27.0,58.0,301.0,209.0,164.0,113.0,35.0,60.0,107.0,115.0,14.0,77.0,3.0,23.0,25.0,3.0,0.0,0.0,1694.0,1527.0,3221.0,42.0
10005,89.0,33.0,4.0,27.0,163.0,362.0,1491.0,637.0,621.0,383.0,140.0,112.0,136.0,57.0,0.0,15.0,0.0,0.0,68.0,0.0,0.0,0.0,4227.0,3904.0,8131.0,111.0
10006,0.0,11.0,0.0,0.0,0.0,146.0,353.0,430.0,157.0,107.0,122.0,18.0,4.0,79.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720.0,1390.0,3110.0,203.0
10007,121.0,171.0,53.0,37.0,36.0,52.0,253.0,565.0,288.0,577.0,214.0,199.0,180.0,162.0,93.0,26.0,12.0,2.0,0.0,17.0,51.0,1.0,2932.0,3944.0,6876.0,204.0
10009,792.0,824.0,331.0,756.0,316.0,1885.0,4794.0,3594.0,1886.0,1610.0,2232.0,641.0,1870.0,1849.0,1019.0,686.0,483.0,783.0,1608.0,579.0,337.0,149.0,33190.0,27675.0,60865.0,686.0
10010,391.0,50.0,727.0,522.0,149.0,1472.0,2501.0,1723.0,1340.0,988.0,821.0,331.0,795.0,1148.0,218.0,352.0,180.0,338.0,390.0,317.0,108.0,151.0,15798.0,15649.0,31447.0,504.0
10011,491.0,224.0,246.0,276.0,327.0,586.0,3646.0,3694.0,1883.0,3073.0,1445.0,711.0,1790.0,1942.0,884.0,831.0,737.0,751.0,895.0,535.0,303.0,222.0,25834.0,26515.0,52349.0,858.0
10012,389.0,160.0,186.0,249.0,136.0,873.0,2366.0,1730.0,740.0,786.0,377.0,199.0,867.0,626.0,279.0,477.0,142.0,458.0,303.0,311.0,97.0,126.0,11614.0,12549.0,24163.0,325.0
10013,475.0,324.0,198.0,406.0,236.0,611.0,1237.0,1494.0,1163.0,1134.0,605.0,553.0,517.0,623.0,392.0,581.0,227.0,398.0,390.0,228.0,179.0,150.0,13790.0,13625.0,27415.0,757.0
10014,364.0,112.0,90.0,74.0,89.0,255.0,2954.0,2058.0,1177.0,1027.0,873.0,437.0,1263.0,908.0,310.0,434.0,377.0,422.0,530.0,256.0,247.0,157.0,14965.0,15762.0,30727.0,448.0
10016,436.0,179.0,477.0,365.0,159.0,1669.0,5761.0,3309.0,1408.0,1345.0,1466.0,468.0,1860.0,1295.0,665.0,535.0,392.0,553.0,1065.0,749.0,433.0,323.0,27318.0,23323.0,50641.0,1332.0
10017,59.0,8.0,100.0,25.0,0.0,203.0,1476.0,1200.0,762.0,552.0,481.0,81.0,657.0,600.0,151.0,162.0,69.0,423.0,495.0,245.0,95.0,158.0,8870.0,7602.0,16472.0,294.0
10018,31.0,68.0,38.0,86.0,35.0,489.0,1095.0,780.0,489.0,311.0,144.0,47.0,231.0,162.0,77.0,69.0,37.0,69.0,3.0,25.0,12.0,0.0,4347.0,4821.0,9168.0,190.0
10019,272.0,89.0,206.0,105.0,98.0,925.0,2894.0,2900.0,1722.0,1875.0,1170.0,469.0,1155.0,1403.0,476.0,687.0,288.0,511.0,911.0,465.0,391.0,260.0,19628.0,19202.0,38830.0,674.0
10020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,761.0,222.0,158.0,92.0,35.0,291.0,2753.0,2197.0,2262.0,1070.0,759.0,1118.0,1196.0,989.0,1047.0,702.0,244.0,1169.0,971.0,528.0,495.0,396.0,23818.0,19755.0,43573.0,1084.0
10022,141.0,127.0,183.0,58.0,26.0,303.0,2414.0,1044.0,1149.0,1163.0,1001.0,251.0,919.0,775.0,568.0,360.0,370.0,588.0,1137.0,662.0,549.0,468.0,17122.0,13485.0,30607.0,578.0
10023,849.0,320.0,469.0,241.0,77.0,777.0,2836.0,2706.0,2924.0,2135.0,2145.0,891.0,2017.0,1586.0,912.0,983.0,815.0,1268.0,1601.0,1111.0,450.0,786.0,32398.0,28188.0,60586.0,1952.0
10024,982.0,674.0,282.0,49.0,188.0,556.0,3022.0,2902.0,2626.0,2430.0,2143.0,1072.0,2037.0,1640.0,1262.0,665.0,650.0,1354.0,1118.0,691.0,328.0,486.0,31252.0,27139.0,58391.0,1525.0
10025,1553.0,988.0,1446.0,1309.0,510.0,1641.0,6045.0,2871.0,3151.0,3048.0,3514.0,1735.0,3161.0,2921.0,1127.0,1965.0,805.0,1707.0,2318.0,1170.0,847.0,1132.0,54353.0,41715.0,96068.0,2913.0
10026,1043.0,554.0,323.0,278.0,408.0,1283.0,2094.0,1490.0,1351.0,1384.0,1381.0,1094.0,1374.0,1033.0,447.0,501.0,236.0,512.0,289.0,267.0,123.0,39.0,20497.0,17813.0,38310.0,1427.0
10027,1765.0,1247.0,2296.0,975.0,721.0,2701.0,3862.0,2425.0,2486.0,1807.0,1838.0,1750.0,1829.0,1578.0,527.0,613.0,488.0,552.0,1146.0,437.0,247.0,212.0,34533.0,29880.0,64413.0,1815.0
10028,736.0,456.0,73.0,62.0,24.0,429.0,4211.0,2134.0,1881.0,1774.0,1686.0,1051.0,910.0,1628.0,540.0,478.0,589.0,914.0,916.0,661.0,520.0,536.0,26387.0,20496.0,46883.0,1015.0
10029,2901.0,1605.0,1400.0,724.0,581.0,2204.0,4504.0,3602.0,3018.0,1910.0,2595.0,1920.0,1946.0,1739.0,1020.0,1078.0,379.0,847.0,1583.0,639.0,510.0,392.0,42887.0,36364.0,79251.0,1791.0
10030,556.0,510.0,486.0,121.0,360.0,932.0,2060.0,1389.0,1212.0,1016.0,1026.0,646.0,1010.0,621.0,341.0,445.0,147.0,345.0,517.0,212.0,103.0,44.0,15476.0,13733.0,29209.0,1019.0
10031,1189.0,1253.0,495.0,486.0,616.0,1864.0,3634.0,3458.0,1697.0,2118.0,2147.0,1317.0,2052.0,1345.0,576.0,527.0,363.0,754.0,1153.0,414.0,206.0,275.0,30586.0,28658.0,59244.0,1464.0
10032,1403.0,807.0,690.0,187.0,429.0,2248.0,3845.0,3458.0,2261.0,1866.0,2196.0,1358.0,1929.0,1562.0,988.0,765.0,373.0,749.0,772.0,441.0,208.0,399.0,31821.0,30864.0,62685.0,1606.0
10033,1478.0,829.0,540.0,435.0,345.0,1935.0,2629.0,2729.0,2036.0,2466.0,1863.0,1114.0,1413.0,1818.0,849.0,694.0,372.0,728.0,854.0,266.0,405.0,270.0,29068.0,30776.0,59844.0,1963.0
10034,1072.0,631.0,575.0,148.0,393.0,1132.0,2284.0,2030.0,2027.0,1500.0,1500.0,1073.0,1119.0,1032.0,638.0,827.0,305.0,272.0,610.0,294.0,156.0,132.0,22442.0,20963.0,43405.0,1558.0
10035,1001.0,621.0,461.0,175.0,296.0,826.0,1424.0,1557.0,1182.0,1098.0,1126.0,867.0,1437.0,1191.0,448.0,438.0,223.0,394.0,558.0,204.0,130.0,142.0,17113.0,16807.0,33920.0,1207.0
10036,87.0,257.0,133.0,254.0,307.0,806.0,2059.0,2041.0,822.0,1745.0,589.0,185.0,1231.0,821.0,437.0,362.0,221.0,331.0,382.0,218.0,187.0,0.0,11021.0,14778.0,25799.0,367.0
10037,766.0,338.0,221.0,60.0,113.0,260.0,922.0,741.0,628.0,585.0,738.0,574.0,565.0,702.0,311.0,162.0,51.0,257.0,438.0,120.0,89.0,213.0,10417.0,8360.0,18777.0,524.0
10038,228.0,229.0,668.0,155.0,167.0,640.0,1586.0,1290.0,813.0,637.0,491.0,336.0,398.0,466.0,293.0,174.0,184.0,265.0,337.0,238.0,187.0,172.0,11440.0,10024.0,21464.0,361.0
10039,1083.0,388.0,418.0,163.0,178.0,802.0,1252.0,899.0,1120.0,914.0,893.0,838.0,730.0,483.0,286.0,207.0,9.0,219.0,474.0,183.0,103.0,203.0,14542.0,12155.0,26697.0,819.0
10040,944.0,654.0,386.0,425.0,437.0,1034.0,2226.0,1896.0,1436.0,1150.0,1929.0,806.0,1592.0,916.0,365.0,1136.0,234.0,391.0,1025.0,362.0,260.0,331.0,23786.0,20592.0,44378.0,954.0
10044,160.0,62.0,0.0,0.0,60.0,373.0,624.0,678.0,574.0,415.0,396.0,86.0,346.0,344.0,294.0,229.0,132.0,62.0,335.0,186.0,164.0,95.0,6177.0,5606.0,11783.0,272.0
10065,507.0,206.0,59.0,55.0,60.0,603.0,2117.0,1573.0,1795.0,920.0,996.0,384.0,1059.0,605.0,352.0,258.0,555.0,685.0,572.0,443.0,482.0,272.0,16953.0,13284.0,30237.0,1159.0
10069,96.0,24.0,0.0,0.0,0.0,40.0,435.0,405.0,451.0,208.0,100.0,222.0,149.0,257.0,0.0,16.0,19.0,39.0,97.0,46.0,0.0,0.0,2896.0,2630.0,5526.0,212.0
10075,426.0,153.0,139.0,44.0,0.0,200.0,1679.0,773.0,1052.0,466.0,542.0,507.0,728.0,882.0,545.0,493.0,544.0,534.0,819.0,347.0,174.0,359.0,15049.0,10707.0,25756.0,519.0
10103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10128,1100.0,580.0,313.0,134.0,51.0,1085.0,4772.0,2526.0,2298.0,2308.0,2173.0,1744.0,1744.0,1505.0,818.0,665.0,632.0,1199.0,1399.0,763.0,686.0,570.0,35155.0,26772.0,61927.0,1712.0
10152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,41.0,91.0,0.0,36.0,125.0,75.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,592.0,697.0,1289.0,179.0
10165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10280,284.0,30.0,84.0,0.0,0.0,184.0,272.0,485.0,624.0,434.0,397.0,274.0,503.0,291.0,71.0,97.0,78.0,71.0,99.0,41.0,76.0,0.0,4942.0,4610.0,9552.0,412.0
10282,77.0,67.0,0.0,0.0,0.0,0.0,240.0,381.0,467.0,404.0,188.0,117.0,250.0,0.0,37.0,0.0,43.0,20.0,0.0,0.0,0.0,27.0,2716.0,3014.0,5730.0,424.0
10301,1538.0,801.0,665.0,407.0,404.0,1074.0,1113.0,1329.0,1279.0,1383.0,1427.0,1351.0,1353.0,1233.0,318.0,673.0,269.0,591.0,638.0,376.0,324.0,143.0,19619.0,19590.0,39209.0,1446.0
10302,484.0,366.0,287.0,114.0,130.0,376.0,640.0,460.0,600.0,486.0,688.0,736.0,688.0,625.0,213.0,154.0,160.0,171.0,206.0,227.0,67.0,54.0,9123.0,9163.0,18286.0,614.0
